tick,opinion,satiety,relax,money,satiety_demand,relax_demand,emotion,task
1,0.85,0.0,50.0,500.0,1.0,1.0,平静,寻找食物
2,0.85,0.0,50.0,500.0,1.0,1.0,平静,寻找食物
3,0.825,0.0,50.0,500.0,1.0,1.0,平静,寻找食物
4,0.825,0.0,50.0,500.0,1.0,1.0,平静,寻找食物
5,0.825,0.0,50.0,500.0,1.0,1.0,平静,寻找食物
6,0.8033,0.0,50.0,500.0,1.0,1.0,平静,寻找食物
7,0.8033,0.0,50.0,500.0,1.0,1.0,平静,寻找食物
8,0.8033,0.0,50.0,500.0,1.0,1.0,平静,寻找食物
9,0.7843,0.0,50.0,500.0,1.0,1.0,平静,none
10,0.7843,0.0,35.0,500.0,1.0,1.0,平静,寻找食物
11,0.7843,0.0,20.0,500.0,1.0,1.0,平静,寻找食物
12,0.7676,0.0,5.0,500.0,1.0,1.0,平静,寻找食物
13,0.7676,0.0,0.0,500.0,1.0,1.0,平静,寻找食物
14,0.7676,0.0,0.0,500.0,1.0,1.0,平静,寻找食物
15,0.7527,0.0,0.0,500.0,1.0,1.0,平静,寻找食物
